reference,activity,time
SPIKE,CAMBIO CULATA,2
AGILITY RS  NAKED,CAMBIO CULATA,2.5
SUPER 8,CAMBIO CULATA,2.5
GACELA,CAMBIO CULATA,2.5
CRUCERO             x-town 300,CAMBIO CULATA,3.5
ROCKET,CAMBIO CULATA,2.5
FLY 125,CAMBIO CULATA,2.5
TWIST,CAMBIO CULATA,2.5
JETIX,CAMBIO CULATA,2
UNI-K 110,CAMBIO CULATA,2
TRACK,CAMBIO CULATA,2
PULSAR 135,CAMBIO CULATA,2.5
Perseo,CAMBIO CULATA,2.5
PULSAR,CAMBIO CULATA,2
PULSAR 180 UG,CAMBIO CULATA,2
PULSAR 150,CAMBIO CULATA,2
THOR 160,CAMBIO CULATA,2
PULSAR 200,CAMBIO CULATA,3
PULSAR 150 NS,CAMBIO CULATA,2
PULSAR 150 AS,CAMBIO CULATA,3.5
PULSAR 200 AS,CAMBIO CULATA,3.5
PULSAR 200 NS,CAMBIO CULATA,3.2
TITAN,CAMBIO CULATA,3.5
PULSAR  RS 200,CAMBIO CULATA,3.7
PULSAR 220,CAMBIO CULATA,2
AVENGER 220,CAMBIO CULATA,2.3
XCD,CAMBIO CULATA,2
DISCOVER 100,CAMBIO CULATA,2
DISCOVER 135,CAMBIO CULATA,2
BOXER,CAMBIO CULATA,2
LEXUS,CAMBIO CULATA,2
DISCOVER 100 5S,CAMBIO CULATA,2.5
DISCOVER 150,CAMBIO CULATA,2.5
CHAMPION,CAMBIO CULATA,2
DISCOVER 125 ST,CAMBIO CULATA,2.5
BOXER BM 100,CAMBIO CULATA,2
BOXER BM 150,CAMBIO CULATA,2
BOXER BM 100 ES,CAMBIO CULATA,2
PLATINO 125,CAMBIO CULATA,2
PLATINO 125 - 5S,CAMBIO CULATA,2
PLATINO 100,CAMBIO CULATA,2
PLATINO 110,CAMBIO CULATA,2
FAMILLY,CAMBIO CULATA,2
MOTOCARRO 4T,CAMBIO CULATA,3
TORITO,CAMBIO CULATA,3
KAZE MAX II,CAMBIO CULATA,2
ZX 130- MAGIC II,CAMBIO CULATA,2
KMX,CAMBIO CULATA,1
KLX 150,CAMBIO CULATA,2
KLX150  L,CAMBIO CULATA,2
KLX 250,CAMBIO CULATA,3.5
NINJA 250,CAMBIO CULATA,3.5
NINJA 250 FI,CAMBIO CULATA,3.5
Z250,CAMBIO CULATA,3.5
Z250 SL,CAMBIO CULATA,3.2
ER-6n,CAMBIO CULATA,4
TRANS-SPORT,CAMBIO CULATA,2
MRX 150,CAMBIO CULATA,2
FURAX,CAMBIO CULATA,3
BOMBER 125,CAMBIO CULATA,2.5
BOMBER 250,CAMBIO CULATA,3.7
COMBAT 125,CAMBIO CULATA,2.5
ZS,CAMBIO CULATA,2.5
LIFE,CAMBIO CULATA,2.5
HUNTER,CAMBIO CULATA,3.5
BLACK,CAMBIO CULATA,3.5
VENOM 400,CAMBIO CULATA,3
VENOM 250,CAMBIO CULATA,3.2
ONE,CAMBIO CULATA,2
FLOW,CAMBIO CULATA,2
ADVANCE II LF,CAMBIO CULATA,2
ZONTES 155,CAMBIO CULATA,3.5
ZONTES 310M,CAMBIO CULATA,4
SHOCK,CAMBIO CULATA,2
TNT150i,CAMBIO CULATA,3.5
180S,CAMBIO CULATA,3
TNT25N,CAMBIO CULATA,3.5
LEONCINO 500,CAMBIO CULATA,4
LEONCINO 250,CAMBIO CULATA,3.5
TRK 500X,CAMBIO CULATA,4
TRK 251,CAMBIO CULATA,3.5
302 S,CAMBIO CULATA,3.5
TOP BOY,CAMBIO DE CILINDRO,1.5
AGILITY,CAMBIO DE CILINDRO,2
AGILITY RS,CAMBIO DE CILINDRO,2
AGILITY CITY 150,CAMBIO DE CILINDRO,2
BET & WIN,CAMBIO DE CILINDRO,2.5
ACTIV,CAMBIO DE CILINDRO,2
SPIKE,CAMBIO DE CILINDRO,2
AGILITY RS  NAKED,CAMBIO DE CILINDRO,2
SUPER 8,CAMBIO DE CILINDRO,2
GACELA,CAMBIO DE CILINDRO,2
CRUCERO             x-town 300,CAMBIO DE CILINDRO,3
ROCKET,CAMBIO DE CILINDRO,2
FLY 125,CAMBIO DE CILINDRO,2
TWIST,CAMBIO DE CILINDRO,2
JETIX,CAMBIO DE CILINDRO,2
UNI-K 110,CAMBIO DE CILINDRO,2
TRACK,CAMBIO DE CILINDRO,2
PULSAR 135,CAMBIO DE CILINDRO,2
Perseo,CAMBIO DE CILINDRO,2
PULSAR,CAMBIO DE CILINDRO,2
PULSAR 180 UG,CAMBIO DE CILINDRO,2
PULSAR 150,CAMBIO DE CILINDRO,2
THOR 160,CAMBIO DE CILINDRO,2
PULSAR 200,CAMBIO DE CILINDRO,3
PULSAR 150 NS,CAMBIO DE CILINDRO,2
PULSAR 150 AS,CAMBIO DE CILINDRO,3.5
PULSAR 200 AS,CAMBIO DE CILINDRO,3.5
PULSAR 200 NS,CAMBIO DE CILINDRO,3.2
TITAN,CAMBIO DE CILINDRO,3.5
PULSAR  RS 200,CAMBIO DE CILINDRO,3.7
PULSAR 220,CAMBIO DE CILINDRO,2
AVENGER 220,CAMBIO DE CILINDRO,2.3
XCD,CAMBIO DE CILINDRO,2
DISCOVER 100,CAMBIO DE CILINDRO,2
DISCOVER 135,CAMBIO DE CILINDRO,2
BOXER,CAMBIO DE CILINDRO,2
LEXUS,CAMBIO DE CILINDRO,2
DISCOVER 100 5S,CAMBIO DE CILINDRO,2
DISCOVER 150,CAMBIO DE CILINDRO,2
CHAMPION,CAMBIO DE CILINDRO,2
DISCOVER 125 ST,CAMBIO DE CILINDRO,2
BOXER BM 100,CAMBIO DE CILINDRO,2
BOXER BM 150,CAMBIO DE CILINDRO,2
BOXER BM 100 ES,CAMBIO DE CILINDRO,2
PLATINO 125,CAMBIO DE CILINDRO,2
PLATINO 125 - 5S,CAMBIO DE CILINDRO,2
PLATINO 100,CAMBIO DE CILINDRO,2
PLATINO 110,CAMBIO DE CILINDRO,2
FAMILLY,CAMBIO DE CILINDRO,2
MOTOCARRO 4T,CAMBIO DE CILINDRO,3
TORITO,CAMBIO DE CILINDRO,3
KAZE MAX II,CAMBIO DE CILINDRO,2
ZX 130- MAGIC II,CAMBIO DE CILINDRO,2
KMX,CAMBIO DE CILINDRO,2
KLX 150,CAMBIO DE CILINDRO,2
KLX150  L,CAMBIO DE CILINDRO,2
KLX 250,CAMBIO DE CILINDRO,2.7
NINJA 250,CAMBIO DE CILINDRO,3
NINJA 250 FI,CAMBIO DE CILINDRO,3
Z250,CAMBIO DE CILINDRO,3
Z250 SL,CAMBIO DE CILINDRO,2.7
ER-6n,CAMBIO DE CILINDRO,3.5
TRANS-SPORT,CAMBIO DE CILINDRO,2
MRX 150,CAMBIO DE CILINDRO,2
FURAX,CAMBIO DE CILINDRO,3
BOMBER 125,CAMBIO DE CILINDRO,2.5
BOMBER 250,CAMBIO DE CILINDRO,3.5
COMBAT 125,CAMBIO DE CILINDRO,2.5
ZS,CAMBIO DE CILINDRO,2
LIFE,CAMBIO DE CILINDRO,2
HUNTER,CAMBIO DE CILINDRO,3
BLACK,CAMBIO DE CILINDRO,3
VENOM 400,CAMBIO DE CILINDRO,3.5
VENOM 250,CAMBIO DE CILINDRO,3.2
ONE,CAMBIO DE CILINDRO,2
FLOW,CAMBIO DE CILINDRO,2
ADVANCE II LF,CAMBIO DE CILINDRO,2
ZONTES 155,CAMBIO DE CILINDRO,3
ZONTES 310M,CAMBIO DE CILINDRO,4.5
SHOCK,CAMBIO DE CILINDRO,2
TNT150i,CAMBIO DE CILINDRO,3
180S,CAMBIO DE CILINDRO,2.5
TNT25N,CAMBIO DE CILINDRO,3
LEONCINO 500,CAMBIO DE CILINDRO,3.5
LEONCINO 250,CAMBIO DE CILINDRO,3
TRK 500X,CAMBIO DE CILINDRO,3.5
TRK 251,CAMBIO DE CILINDRO,3
302 S,CAMBIO DE CILINDRO,4
AGILITY,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
AGILITY RS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
AGILITY CITY 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
BET & WIN,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2.5
ACTIV,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
SPIKE,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
AGILITY RS  NAKED,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
SUPER 8,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
GACELA,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
CRUCERO             x-town 300,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
ROCKET,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
FLY 125,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
TWIST,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
JETIX,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
UNI-K 110,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
TRACK,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PULSAR 135,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.9
Perseo,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.9
PULSAR,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PULSAR 180 UG,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PULSAR 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
THOR 160,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PULSAR 200,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
PULSAR 150 NS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PULSAR 150 AS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.1
PULSAR 200 AS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.1
PULSAR 200 NS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2.8
TITAN,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
PULSAR  RS 200,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.3
PULSAR 220,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
AVENGER 220,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
XCD,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
DISCOVER 100,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
DISCOVER 135,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
BOXER,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
LEXUS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
DISCOVER 100 5S,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.9
DISCOVER 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.9
CHAMPION,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
DISCOVER 125 ST,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.9
BOXER BM 100,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
BOXER BM 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
BOXER BM 100 ES,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PLATINO 125,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PLATINO 125 - 5S,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
PLATINO 100,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
PLATINO 110,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
FAMILLY,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
MOTOCARRO 4T,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
TORITO,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
KAZE MAX II,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
ZX 130- MAGIC II,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
KLX 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
KLX150  L,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
KLX 250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
NINJA 250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
NINJA 250 FI,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
Z250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
Z250 SL,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2.7
ER-6n,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.7
TRANS-SPORT,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
MRX 150,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
FURAX,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
BOMBER 125,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
BOMBER 250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.7
COMBAT 125,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
ZS,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
LIFE,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2
HUNTER,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
BLACK,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
VENOM 400,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.8
VENOM 250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2.8
ONE,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
FLOW,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
ADVANCE II LF,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
ZONTES 155,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
ZONTES 310M,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
SHOCK,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),1.7
TNT150i,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
180S,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),2.5
TNT25N,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
LEONCINO 500,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.7
LEONCINO 250,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
TRK 500X,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3.7
TRK 251,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
302 S,CAMBIO VÁLVULAS (ADMISION Y ESCAPE),3
AGILITY,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
AGILITY RS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
AGILITY CITY 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
BET & WIN,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
ACTIV,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
SPIKE,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
AGILITY RS  NAKED,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
SUPER 8,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
GACELA,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
CRUCERO             x-town 300,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
ROCKET,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
FLY 125,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
TWIST,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
JETIX,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
UNI-K 110,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
TRACK,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR 135,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
Perseo,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR 180 UG,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
THOR 160,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR 200,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
PULSAR 150 NS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PULSAR 150 AS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.3
PULSAR 200 AS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.3
PULSAR 200 NS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
TITAN,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
PULSAR  RS 200,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
PULSAR 220,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
AVENGER 220,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.7
XCD,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
DISCOVER 100,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
DISCOVER 135,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
BOXER,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
LEXUS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
DISCOVER 100 5S,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
DISCOVER 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
CHAMPION,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
DISCOVER 125 ST,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
BOXER BM 100,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
BOXER BM 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
BOXER BM 100 ES,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PLATINO 125,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PLATINO 125 - 5S,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PLATINO 100,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
PLATINO 110,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
FAMILLY,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
MOTOCARRO 4T,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
TORITO,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
KAZE MAX II,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
ZX 130- MAGIC II,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
KLX 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
KLX150  L,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
KLX 250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
NINJA 250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
NINJA 250 FI,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
Z250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
Z250 SL,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.7
ER-6n,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3
TRANS-SPORT,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
MRX 150,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
FURAX,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3.5
BOMBER 125,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
BOMBER 250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1
COMBAT 125,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
ZS,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
LIFE,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
HUNTER,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
BLACK,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
VENOM 400,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3.5
VENOM 250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
ONE,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
FLOW,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
ADVANCE II LF,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
ZONTES 155,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2.5
ZONTES 310M,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3
SHOCK,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,1.5
TNT150i,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
180S,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
TNT25N,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
LEONCINO 500,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3
LEONCINO 250,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
TRK 500X,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,3
TRK 251,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
302 S,CAMBIO EJE LEVAS O PIÑON CON EJE DE LEVA,2
AGILITY,CAMBIO DE BALANCINES SUPERIORES,1.5
AGILITY RS,CAMBIO DE BALANCINES SUPERIORES,1.5
AGILITY CITY 150,CAMBIO DE BALANCINES SUPERIORES,1.5
BET & WIN,CAMBIO DE BALANCINES SUPERIORES,1.5
ACTIV,CAMBIO DE BALANCINES SUPERIORES,1.5
SPIKE,CAMBIO DE BALANCINES SUPERIORES,1.5
AGILITY RS  NAKED,CAMBIO DE BALANCINES SUPERIORES,1.5
SUPER 8,CAMBIO DE BALANCINES SUPERIORES,1.5
GACELA,CAMBIO DE BALANCINES SUPERIORES,1.5
CRUCERO             x-town 300,CAMBIO DE BALANCINES SUPERIORES,2
ROCKET,CAMBIO DE BALANCINES SUPERIORES,1.5
FLY 125,CAMBIO DE BALANCINES SUPERIORES,1.5
TWIST,CAMBIO DE BALANCINES SUPERIORES,1.5
JETIX,CAMBIO DE BALANCINES SUPERIORES,1.5
UNI-K 110,CAMBIO DE BALANCINES SUPERIORES,1.5
TRACK,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR 135,CAMBIO DE BALANCINES SUPERIORES,1.5
Perseo,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR 180 UG,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR 150,CAMBIO DE BALANCINES SUPERIORES,1.5
THOR 160,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR 200,CAMBIO DE BALANCINES SUPERIORES,2
PULSAR 150 NS,CAMBIO DE BALANCINES SUPERIORES,1.5
PULSAR 150 AS,CAMBIO DE BALANCINES SUPERIORES,2.3
PULSAR 200 AS,CAMBIO DE BALANCINES SUPERIORES,2.3
PULSAR 200 NS,CAMBIO DE BALANCINES SUPERIORES,2
TITAN,CAMBIO DE BALANCINES SUPERIORES,2.5
PULSAR  RS 200,CAMBIO DE BALANCINES SUPERIORES,2.5
PULSAR 220,CAMBIO DE BALANCINES SUPERIORES,1.5
AVENGER 220,CAMBIO DE BALANCINES SUPERIORES,1.7
XCD,CAMBIO DE BALANCINES SUPERIORES,1.5
DISCOVER 100,CAMBIO DE BALANCINES SUPERIORES,1.5
DISCOVER 135,CAMBIO DE BALANCINES SUPERIORES,1.5
BOXER,CAMBIO DE BALANCINES SUPERIORES,1.5
LEXUS,CAMBIO DE BALANCINES SUPERIORES,1.5
DISCOVER 100 5S,CAMBIO DE BALANCINES SUPERIORES,1.5
DISCOVER 150,CAMBIO DE BALANCINES SUPERIORES,1.5
CHAMPION,CAMBIO DE BALANCINES SUPERIORES,1.5
DISCOVER 125 ST,CAMBIO DE BALANCINES SUPERIORES,1.5
BOXER BM 100,CAMBIO DE BALANCINES SUPERIORES,1.5
BOXER BM 150,CAMBIO DE BALANCINES SUPERIORES,1.5
BOXER BM 100 ES,CAMBIO DE BALANCINES SUPERIORES,1.5
PLATINO 125,CAMBIO DE BALANCINES SUPERIORES,1.5
PLATINO 125 - 5S,CAMBIO DE BALANCINES SUPERIORES,1.5
PLATINO 100,CAMBIO DE BALANCINES SUPERIORES,1
PLATINO 110,CAMBIO DE BALANCINES SUPERIORES,1.5
FAMILLY,CAMBIO DE BALANCINES SUPERIORES,1.5
MOTOCARRO 4T,CAMBIO DE BALANCINES SUPERIORES,2
TORITO,CAMBIO DE BALANCINES SUPERIORES,2
KAZE MAX II,CAMBIO DE BALANCINES SUPERIORES,1.5
ZX 130- MAGIC II,CAMBIO DE BALANCINES SUPERIORES,1.5
KLX 150,CAMBIO DE BALANCINES SUPERIORES,1.5
KLX150  L,CAMBIO DE BALANCINES SUPERIORES,1.5
TRANS-SPORT,CAMBIO DE BALANCINES SUPERIORES,1.5
MRX 150,CAMBIO DE BALANCINES SUPERIORES,1.5
FURAX,CAMBIO DE BALANCINES SUPERIORES,1.5
BOMBER 125,CAMBIO DE BALANCINES SUPERIORES,2
BOMBER 250,CAMBIO DE BALANCINES SUPERIORES,1
COMBAT 125,CAMBIO DE BALANCINES SUPERIORES,2
ZS,CAMBIO DE BALANCINES SUPERIORES,1.5
LIFE,CAMBIO DE BALANCINES SUPERIORES,1.5
HUNTER,CAMBIO DE BALANCINES SUPERIORES,2
BLACK,CAMBIO DE BALANCINES SUPERIORES,2
VENOM 400,CAMBIO DE BALANCINES SUPERIORES,3.5
VENOM 250,CAMBIO DE BALANCINES SUPERIORES,2
ONE,CAMBIO DE BALANCINES SUPERIORES,1.5
FLOW,CAMBIO DE BALANCINES SUPERIORES,1.5
ADVANCE II LF,CAMBIO DE BALANCINES SUPERIORES,1.5
ZONTES 155,CAMBIO DE BALANCINES SUPERIORES,2.5
ZONTES 310M,CAMBIO DE BALANCINES SUPERIORES,3
SHOCK,CAMBIO DE BALANCINES SUPERIORES,1.5
AGILITY,CAMBIO CADENILLA DISTRIBUCIÓN,5
AGILITY RS,CAMBIO CADENILLA DISTRIBUCIÓN,5
AGILITY CITY 150,CAMBIO CADENILLA DISTRIBUCIÓN,5
BET & WIN,CAMBIO CADENILLA DISTRIBUCIÓN,5
ACTIV,CAMBIO CADENILLA DISTRIBUCIÓN,1.5
SPIKE,CAMBIO CADENILLA DISTRIBUCIÓN,1.5
AGILITY RS  NAKED,CAMBIO CADENILLA DISTRIBUCIÓN,5
SUPER 8,CAMBIO CADENILLA DISTRIBUCIÓN,5
GACELA,CAMBIO CADENILLA DISTRIBUCIÓN,5
CRUCERO             x-town 300,CAMBIO CADENILLA DISTRIBUCIÓN,5.5
ROCKET,CAMBIO CADENILLA DISTRIBUCIÓN,5
FLY 125,CAMBIO CADENILLA DISTRIBUCIÓN,5
TWIST,CAMBIO CADENILLA DISTRIBUCIÓN,5
JETIX,CAMBIO CADENILLA DISTRIBUCIÓN,1.5
